population,side,stack_cell,stack,cell,Time (sec),ROI_mean_Fluo,deltaF_F,led
OviDN_activation,left,539_1,539,1,1,632.612,-0.07622431873731901,0
OviDN_activation,left,539_1,539,1,2,658.9,-0.03783710017517765,0
OviDN_activation,left,539_1,539,1,3,667.25,-0.02564395976914139,0
OviDN_activation,left,539_1,539,1,4,674.062,-0.0156966936079535,0
OviDN_activation,left,539_1,539,1,5,688.35,0.005167448921560952,0
OviDN_activation,left,539_1,539,1,6,699.05,0.020792191717319844,0
OviDN_activation,left,539_1,539,1,7,692.487,0.011208529383808995,0
OviDN_activation,left,539_1,539,1,8,690.95,0.008964115395296816,0
OviDN_activation,left,539_1,539,1,9,705.675,0.030466389943665947,0
OviDN_activation,left,539_1,539,1,10,713.638,0.04209441114765007,0
OviDN_activation,left,539_1,539,1,11,709.95,0.036708985780289416,3
OviDN_activation,left,539_1,539,1,12,716.825,0.046748248090648585,0
OviDN_activation,left,539_1,539,1,13,705.188,0.029755245108008557,0
OviDN_activation,left,539_1,539,1,14,702.287,0.025519041477121068,0
OviDN_activation,left,539_1,539,1,15,695.275,0.015279724048722663,0
OviDN_activation,left,539_1,539,1,16,695.688,0.015882809915512254,0
OviDN_activation,left,539_1,539,1,17,705.638,0.03041236045923213,0
OviDN_activation,left,539_1,539,1,18,707.037,0.03245525907336922,0
OviDN_activation,left,539_1,539,1,19,719.325,0.050398888930779186,0
OviDN_activation,left,539_1,539,1,20,714.7,0.043645203376537565,0
OviDN_activation,left,539_1,539,1,21,716.513,0.04629264811380027,3
OviDN_activation,left,539_1,539,1,22,671.85,-0.018926780623301043,0
OviDN_activation,left,539_1,539,1,23,642.775,-0.06138373359402005,0
OviDN_activation,left,539_1,539,1,24,643.55,-0.0602520349335796,0
OviDN_activation,left,539_1,539,1,25,648.4,-0.05316979170372619,0
OviDN_activation,left,539_1,539,1,26,653.075,-0.046343093332681856,0
OviDN_activation,left,539_1,539,1,27,650.225,-0.05050482389043078,0
OviDN_activation,left,539_1,539,1,28,644.662,-0.05862822988788939,0
OviDN_activation,left,539_1,539,1,29,648.662,-0.05278720454368042,0
OviDN_activation,left,539_1,539,1,30,650.75,-0.04973818931400339,0
OviDN_activation,left,539_2,539,2,1,523.812,-0.04919759217421987,0
OviDN_activation,left,539_2,539,2,2,536.737,-0.025736653667373592,0
OviDN_activation,left,539_2,539,2,3,535.425,-0.02811814313127941,0
OviDN_activation,left,539_2,539,2,4,539.6,-0.020539851582646127,0
OviDN_activation,left,539_2,539,2,5,546.575,-0.007879113007384702,0
OviDN_activation,left,539_2,539,2,6,558.725,0.014175076768877023,0
OviDN_activation,left,539_2,539,2,7,559.362,0.015331333467434842,0
OviDN_activation,left,539_2,539,2,8,557.0,0.011043926368543521,0
OviDN_activation,left,539_2,539,2,9,572.412,0.039019166930827236,0
OviDN_activation,left,539_2,539,2,10,565.175,0.02588285652664549,0
OviDN_activation,left,539_2,539,2,11,565.25,0.026018993500573115,3
OviDN_activation,left,539_2,539,2,12,551.425,0.0009244113065961673,0
OviDN_activation,left,539_2,539,2,13,559.088,0.01483397972268622,0
OviDN_activation,left,539_2,539,2,14,557.638,0.012201998226753871,0
OviDN_activation,left,539_2,539,2,15,560.938,0.018192025079565625,0
OviDN_activation,left,539_2,539,2,16,568.912,0.03266610814754195,0
OviDN_activation,left,539_2,539,2,17,574.0,0.04190164045878632,0
OviDN_activation,left,539_2,539,2,18,570.162,0.03493505771300098,0
OviDN_activation,left,539_2,539,2,19,582.088,0.056582651727132366,0
OviDN_activation,left,539_2,539,2,20,581.787,0.056036288671769956,0
OviDN_activation,left,539_2,539,2,21,573.025,0.040131859797728237,3
OviDN_activation,left,539_2,539,2,22,546.013,-0.008899232732015103,0
OviDN_activation,left,539_2,539,2,23,529.638,-0.038622472039528385,0
OviDN_activation,left,539_2,539,2,24,527.888,-0.04179900143117103,0
OviDN_activation,left,539_2,539,2,25,541.688,-0.016749798228503428,0
OviDN_activation,left,539_2,539,2,26,544.5,-0.011645569286046773,0
OviDN_activation,left,539_2,539,2,27,537.162,-0.0249652108151174,0
OviDN_activation,left,539_2,539,2,28,537.65,-0.024079412904762294,0
OviDN_activation,left,539_2,539,2,29,547.95,-0.0053832684853797694,0
OviDN_activation,left,539_2,539,2,30,536.763,-0.02568945951641192,0
OviDN_activation,left,539_3,539,3,1,437.603,-0.06413897526486662,0
OviDN_activation,left,539_3,539,3,2,444.845,-0.04865118029743756,0
OviDN_activation,left,539_3,539,3,3,461.776,-0.012442417995098397,0
OviDN_activation,left,539_3,539,3,4,452.466,-0.03235285311616497,0
OviDN_activation,left,539_3,539,3,5,476.483,0.01901008139539847,0
OviDN_activation,left,539_3,539,3,6,466.241,-0.0028935358451991798,0
OviDN_activation,left,539_3,539,3,7,475.086,0.01602244682352631,0
OviDN_activation,left,539_3,539,3,8,478.086,0.022438269096694913,0
OviDN_activation,left,539_3,539,3,9,477.138,0.020410869258373557,0
OviDN_activation,left,539_3,539,3,10,487.31,0.04216478397926395,0
OviDN_activation,left,539_3,539,3,11,486.5,0.04043251196550843,3
OviDN_activation,left,539_3,539,3,12,485.121,0.037483372327275215,0
OviDN_activation,left,539_3,539,3,13,476.81,0.019709406023173844,0
OviDN_activation,left,539_3,539,3,14,469.207,0.0034495737755401963,0
OviDN_activation,left,539_3,539,3,15,484.897,0.037004324264211984,0
OviDN_activation,left,539_3,539,3,16,481.828,0.030440938078760468,0
OviDN_activation,left,539_3,539,3,17,491.19,0.050462580785895335,0
OviDN_activation,left,539_3,539,3,18,482.052,0.030919986141823824,0
OviDN_activation,left,539_3,539,3,19,491.828,0.05182701232265581,0
OviDN_activation,left,539_3,539,3,20,490.793,0.04961355363841271,0
OviDN_activation,left,539_3,539,3,21,475.052,0.01594973417109708,3
OviDN_activation,left,539_3,539,3,22,453.845,-0.029403713477931758,0
OviDN_activation,left,539_3,539,3,23,438.552,-0.06210943681912092,0
OviDN_activation,left,539_3,539,3,24,439.362,-0.06037716480536539,0
OviDN_activation,left,539_3,539,3,25,439.466,-0.060154749633228914,0
OviDN_activation,left,539_3,539,3,26,449.345,-0.03902744688768466,0
OviDN_activation,left,539_3,539,3,27,439.845,-0.05934421741938524,0
OviDN_activation,left,539_3,539,3,28,435.69,-0.06823013126772381,0
OviDN_activation,left,539_3,539,3,29,457.5,-0.021587103341788066,0
OviDN_activation,left,539_3,539,3,30,447.362,-0.04326830541024912,0
OviDN_activation,left,546_1,546,1,1,921.4,-0.004470238424928355,0
OviDN_activation,left,546_1,546,1,2,908.6222,-0.018276055863015946,0
OviDN_activation,left,546_1,546,1,3,908.9333,-0.017939926810676014,0
